site_id,site_label,site_type,latitude,longitude,modern_country_location,administering_country,former_entity,region_category,exposure_period,metal,source_1,source_2,source_3,source_4,source_5,source_6,source_7,notes
CA-001,Dorset,Town,45.233,-78.883,Canada,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,,
CH-001,Chaumont,Locality,47.031,6.96,Switzerland,,,Rural,"1 year, 2 years, 4 years","Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,
CZ-001,Prague,City,50.11,14.45,Czech Republic,,Czechoslovakia,Urban,"1980-2026, 1997-2001 (1, 2, 4 years multipollutant), 2005-06 (1-year multipollutant), 2008-09 (1-year trend exposure), 2011-12 (1-year trend exposure), 1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, zinc, copper, aluminium, limestone, modern glass, Weathering steel, Zinc, Aluminium, Copper",https://www.corrosion-sites.com/index.php,source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,
CZ-002,Kasperske Hory,Town,49.1429,13.5561,Czech Republic,,Czechoslovakia,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
CZ-003,Kopisty,Industrial Locality,50.533,13.616,Czech Republic,,Czechoslovakia,Industrial,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
DE-001,Waldhof-Langenbrugge,Monitoring site,52.800867,10.75623,Germany,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,,,
DE-002,Aschaffenburg,City,49.977,9.1521,Germany,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
DE-003,Langenfeld-Reusrath,Rural,51.083864,6.921054,Germany,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,,,
DE-004,Bottrop,City,51.5239,6.9285,Germany,,,Industrial,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
DE-005,Essen,City,51.463,7.081,Germany,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
DE-006,Garmisch-Partenkirchen,Town,47.492,11.0955,Germany,,,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,,,,
DE-007,Berlin,City,52.52,13.405,Germany,,,Urban,"1 year, 2 years, 4 years","Carbon steel, Zinc, Copper, Weathering steel",source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,source_pdfs/s016.pdf,,,,
EE-001,Lahemaa,National Park,59.576,25.8,Estonia,,USSR,Rural,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
ES-001,Madrid,City,40.4168,-3.7038,Spain,,,Urban,"1 year, 2 years, 4 years, 8 years, Annually","Carbon steel, Weathering steel, Zinc, Aluminium, Copper",source_pdfs/s009.pdf,source_pdfs/s010.pdf,source_pdfs/s011.pdf,source_pdfs/s012.pdf,source_pdfs/s013.pdf,source_pdfs/s014.pdf,source_pdfs/s015.pdf,
